p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.20955159114794e-235	0.351317941145377	0.219	0.051	4.33226780476377e-231	pLOF	HLA-G
5.24701403667811e-235	0.224010430873115	0.684	0.488	1.02878204217148e-230	pLOF	SNX33
2.15081381665181e-234	0.233173566663775	0.694	0.513	4.2171006503092e-230	pLOF	TMEM72
8.21102002808218e-230	0.14387540436507	0.893	0.81	1.60993469690607e-225	pLOF	PTPN14
5.02374788094989e-229	0.137739261603231	0.927	0.863	9.85006247017845e-225	pLOF	CCNY
1.07959740729315e-228	0.179621031970321	0.802	0.663	2.11676663647967e-224	pLOF	TRAF3IP2
8.03358452775398e-228	0.171875496414746	0.837	0.754	1.57514491835672e-223	pLOF	INTS3
8.89783195838241e-227	0.150163692877376	0.86	0.718	1.74459791208004e-222	pLOF	NCK2
4.24463291960091e-226	0.199531160804647	0.686	0.465	8.3224517654615e-222	pLOF	ALOX5
4.40966636742367e-226	0.272789083350114	0.486	0.269	8.64603284660759e-222	pLOF	TIMD4
1.01089816727021e-225	0.120320602536664	0.926	0.858	1.9820680365667e-221	pLOF	PFKP
1.29110075049871e-225	0.298043349469349	0.492	0.25	2.53146124150283e-221	pLOF	SLC27A3
1.959854569494e-225	0.252098801289752	0.62	0.383	3.84268685440689e-221	pLOF	TRIM35
4.80485488497056e-225	0.183182830536241	0.778	0.615	9.42087897296178e-221	pLOF	CARS
5.70831948958774e-225	0.221803321122427	0.654	0.417	1.11923020232347e-220	pLOF	KIAA1522
3.00690156145601e-222	0.15476926695016	0.853	0.733	5.8956318915468e-218	pLOF	PLCXD2
5.90238766004874e-221	0.150595745006647	0.853	0.751	1.15728114850576e-216	pLOF	CPEB4
1.13438548221655e-215	0.161200493032975	0.838	0.711	2.22418961498199e-211	pLOF	HERC3
2.01938057152966e-215	0.184392422257046	0.737	0.551	3.9593994865982e-211	pLOF	TBC1D7
1.23171972254868e-214	0.145191689967805	0.876	0.773	2.41503286000119e-210	pLOF	CYFIP2
3.12000399205748e-211	0.235316885090743	0.677	0.439	6.11739182722709e-207	pLOF	SLC1A2
1.02163192189744e-210	0.149939009167376	0.883	0.749	2.00311370926431e-206	pLOF	ACOXL
1.45341541669661e-209	0.235771739011288	0.553	0.319	2.84971160751705e-205	pLOF	LMO1
3.09810225406885e-209	0.143083694248988	0.901	0.809	6.07444908955279e-205	pLOF	ARHGEF10L
8.40250006646925e-209	0.281603307142673	0.447	0.208	1.64747818803263e-204	pLOF	MFSD2A
3.25507398918785e-208	0.233387601515509	0.653	0.438	6.38222357060062e-204	pLOF	PINX1
2.45250707441133e-207	0.167813776580385	0.834	0.727	4.80863062079829e-203	pLOF	GRAMD3
2.53443769787265e-207	0.162854224464519	0.818	0.684	4.96927199421891e-203	pLOF	SLC22A5
3.74582917622556e-207	0.156476882040726	0.845	0.723	7.34444726582546e-203	pLOF	PHC2
6.50597478139204e-206	0.306514375172143	0.407	0.169	1.27562647538754e-201	pLOF	GPR153
5.79652137275043e-205	0.191191011979877	0.796	0.619	1.13652394555518e-200	pLOF	DTNA
1.46901234660803e-204	0.135351341752329	0.895	0.761	2.88029250799436e-200	pLOF	KCNIP1
4.89993849783057e-203	0.23568394767821	0.645	0.42	9.60730941269639e-199	pLOF	AGPAT4
2.84832526983189e-202	0.264262114383421	0.565	0.349	5.58471135655939e-198	pLOF	S100A13
5.34350727229895e-202	0.214886283140145	0.651	0.432	1.04770147087966e-197	pLOF	GFRA2
2.38960213514009e-201	0.160286764469483	0.822	0.677	4.68529290636918e-197	pLOF	DHRS3
2.71335767097411e-201	0.243656193613783	0.552	0.31	5.32008038547894e-197	pLOF	NBL1
1.21998329649185e-200	0.167679980413101	0.844	0.69	2.39202124943157e-196	pLOF	EVC
5.85675226562465e-200	0.209646442931694	0.691	0.535	1.14833341672103e-195	pLOF	DUSP10
1.19516207435136e-199	0.280135719570861	0.528	0.301	2.34335427918071e-195	pLOF	VASH2
2.35854355376042e-198	0.216136606029442	0.653	0.425	4.62439634585805e-194	pLOF	SLCO2A1
2.97687579839509e-198	0.203395767116491	0.726	0.545	5.83676037791325e-194	pLOF	RP13-279N23.2
3.04418741790465e-197	0.274507638855355	0.53	0.311	5.96873827028564e-193	pLOF	S100A1
3.9323850978601e-196	0.158495271227279	0.802	0.638	7.7102274613743e-192	pLOF	SEL1L3
4.48103410334676e-196	0.219735485580989	0.658	0.465	8.785963566432e-192	pLOF	PPP2CB
4.38626861499225e-195	0.297135859440837	0.428	0.206	8.6001568734153e-191	pLOF	RNF186
2.09196458186348e-194	0.214524867953719	0.687	0.473	4.10171495565972e-190	pLOF	TSPAN15
2.27746434460582e-194	0.181792645500033	0.793	0.657	4.46542434046863e-190	pLOF	TPM1
9.3414293964555e-194	0.145796840654188	0.816	0.618	1.83157406176303e-189	pLOF	ADAMTS2
4.31631322207898e-192	0.164725967607636	0.803	0.656	8.46299533453026e-188	pLOF	HK2
3.84589276321722e-191	0.164165327527347	0.77	0.629	7.54064194084e-187	pLOF	C10orf10
1.80051358584741e-190	0.120906613728809	0.907	0.827	3.53026698777101e-186	pLOF	CYSTM1
7.97367021569117e-190	0.13760736904674	0.897	0.817	1.56339751919057e-185	pLOF	SOD2
8.51524496291419e-190	0.168650141803892	0.794	0.652	1.66958407987858e-185	pLOF	TTC39A
5.87976141302413e-189	0.351219865703888	0.292	0.1	1.15284482025164e-184	pLOF	SLC30A2
7.73564018018531e-189	0.159802603164448	0.852	0.704	1.51672697012893e-184	pLOF	ZBTB7C
2.61783626444154e-187	0.139055924229234	0.883	0.804	5.13279156369052e-183	pLOF	MYLK
3.92957671238781e-187	0.23847391319425	0.602	0.383	7.70472105997878e-183	pLOF	C5orf67
1.53778469467459e-186	0.151316680385795	0.896	0.806	3.01513445084848e-182	pLOF	LIPC
2.11696964338355e-186	0.237207436746159	0.494	0.271	4.15074237978214e-182	pLOF	KNDC1
1.14185960384199e-185	0.195603936377334	0.671	0.463	2.23884412525299e-181	pLOF	CD99
1.83468195811542e-185	0.258111185049648	0.532	0.289	3.59726091527691e-181	pLOF	NOD2
8.17356356136905e-184	0.153794900565492	0.596	0.434	1.60259060747763e-179	pLOF	ST6GAL1
9.20927155110649e-183	0.208836774053645	0.653	0.454	1.80566187302545e-178	pLOF	PLSCR1
1.84358215034901e-182	0.151513549239524	0.838	0.713	3.6147115221893e-178	pLOF	TMEM51
4.39315015086034e-182	0.229207146392143	0.584	0.361	8.61364950079186e-178	pLOF	SGK223
8.91424370663796e-182	0.193335455806937	0.738	0.538	1.7478157635605e-177	pLOF	DAPK2
1.94198984541555e-180	0.140323813145039	0.859	0.785	3.80765948990626e-176	pLOF	SORBS2
4.11899106996698e-180	0.166678383279452	0.834	0.685	8.07610579088426e-176	pLOF	KCNJ15
1.88122738820336e-179	0.187431583021414	0.669	0.43	3.68852254005033e-175	pLOF	GFPT2
4.82461171625549e-178	0.110768484659738	0.914	0.88	9.45961619206214e-174	pLOF	RASSF4
9.87490272860151e-178	0.195553733639752	0.582	0.366	1.9361721779969e-173	pLOF	PADI1
1.80364319104273e-176	0.137096691476001	0.85	0.752	3.53640320467748e-172	pLOF	SH3TC1
1.53311071249626e-175	0.168133717491429	0.791	0.64	3.00597017399143e-171	pLOF	APBB1IP
2.34433720069384e-175	0.13191819886613	0.854	0.74	4.59654194940041e-171	pLOF	SH3PXD2B
8.20083305060634e-175	0.332531012632577	0.326	0.128	1.60793733623238e-170	pLOF	SLFNL1
1.77631947493846e-174	0.300462261557392	0.363	0.146	3.48282959451185e-170	pLOF	AL513523.2
2.05942264474781e-174	0.10969773269162	0.88	0.791	4.03790997955702e-170	pLOF	ATOX1
4.51887350431522e-173	0.203222478911362	0.628	0.394	8.86015527991086e-169	pLOF	AC027682.1
5.3293881266957e-173	0.225037965408388	0.632	0.427	1.04493313000123e-168	pLOF	CHI3L2
1.0866863913003e-172	0.229518112044875	0.6	0.345	2.1306660074225e-168	pLOF	TGFBI
1.23265090552296e-172	0.333600149013884	0.236	0.063	2.41685863045887e-168	pLOF	ARX
1.26241445539716e-171	0.22231575879123	0.565	0.357	2.47521602269721e-167	pLOF	PKP1
6.78265343522158e-171	0.205788487022931	0.679	0.484	1.3298748590439e-166	pLOF	CTD-2135J3.4
7.76783276199041e-171	0.269411093275793	0.427	0.199	1.52303896964346e-166	pLOF	SPHK1
3.58447537523128e-169	0.111309170530648	0.934	0.864	7.02808086821597e-165	pLOF	CUBN
7.2030172333538e-169	0.114083231804299	0.902	0.831	1.41229558894368e-164	pLOF	ABLIM3
1.66494819742143e-168	0.211270831974335	0.646	0.458	3.26446393068419e-164	pLOF	ALDH4A1
3.81933562353606e-168	0.128447068529301	0.87	0.78	7.48857135706715e-164	pLOF	PEBP4
6.61484411369291e-168	0.223594987248393	0.567	0.345	1.29697248537177e-163	pLOF	IL10RB
2.35680187671814e-166	0.140396068350272	0.85	0.755	4.62098143968127e-162	pLOF	SCMH1
1.76095444408858e-165	0.170476160058824	0.721	0.549	3.45270337852447e-161	pLOF	QSOX1
2.64966192603751e-165	0.236478722097422	0.429	0.222	5.19519213838174e-161	pLOF	N4BP3
2.90804317751507e-165	0.223103619854543	0.539	0.317	5.7018002581538e-161	pLOF	COL16A1
2.39485821881142e-164	0.142943454267866	0.872	0.768	4.69559850962354e-160	pLOF	B4GALT5
