Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Direction
PANCREAS_BETA_CELLS	1/243	12/2390	0.724673690284317	0.999942712973719	0.887462056921979	AKT3	1	WT
MTORC1_SIGNALING	14/243	155/2390	0.726021536588343	0.999942712973719	0.887462056921979	ASNS/BCAT1/PLOD2/GLRX/ACACA/DHCR7/MTHFD2/DHFR/CTH/FDXR/PPA1/HMGCS1/TES/IDH1	14	WT
BILE_ACID_METABOLISM	4/243	49/2390	0.750247002187155	0.999942712973719	0.887462056921979	CAT/FDXR/HACL1/IDH1	4	WT
SPERMATOGENESIS	4/243	50/2390	0.764526406106205	0.999942712973719	0.887462056921979	KIF2C/CAMK4/TALDO1/SIRT1	4	WT
NOTCH_SIGNALING	1/243	14/2390	0.778078705899202	0.999942712973719	0.887462056921979	ARRB1	1	WT
ANGIOGENESIS	1/243	15/2390	0.800775201886783	0.999942712973719	0.887462056921979	FSTL1	1	WT
APICAL_SURFACE	1/243	17/2390	0.839465005725288	0.999942712973719	0.887462056921979	B4GALT1	1	WT
HEME_METABOLISM	8/243	105/2390	0.854469465069479	0.999942712973719	0.887462056921979	ASNS/CAST/CAT/ENDOD1/PC/P4HA2/NEK7/HTATIP2	8	WT
MITOTIC_SPINDLE	14/243	175/2390	0.869679598933911	0.999942712973719	0.887462056921979	YWHAE/KIF2C/MYH9/NUMA1/PALLD/SUN2/FLNB/DST/VCL/CDC42EP2/ABR/ARHGAP29/MYH10/FLNA	14	WT
WNT_BETA_CATENIN_SIGNALING	1/243	19/2390	0.870666044861931	0.999942712973719	0.887462056921979	SKP2	1	WT
UNFOLDED_PROTEIN_RESPONSE	6/243	88/2390	0.89822433467052	0.999942712973719	0.887462056921979	ASNS/NOLC1/MTHFD2/HYOU1/PDIA5/EIF4A1	6	WT
MYC_TARGETS_V2	3/243	52/2390	0.911935538123901	0.999942712973719	0.887462056921979	NOLC1/TFB2M/MYBBP1A	3	WT
INTERFERON_GAMMA_RESPONSE	6/243	98/2390	0.94495438090057	0.999942712973719	0.887462056921979	SRI/LYSMD2/MTHFD2/SOD2/ICAM1/TOR1B	6	WT
type-I inducible tumor
(Bi et al)	3/243	76/2390	0.987679236162857	0.999942712973719	0.887462056921979	TRIM5/PDCD1LG2/THBS1	3	WT
INTERFERON_ALPHA_RESPONSE	2/243	61/2390	0.989290176115635	0.999942712973719	0.887462056921979	TRIM5/PROCR	2	WT
MYC_TARGETS_V1	11/243	193/2390	0.992166985992409	0.999942712973719	0.887462056921979	YWHAE/RPL22/NOLC1/RPL18/RPL34/RPL14/HSP90AB1/EIF4A1/UBE2E1/GLO1/RPS6	11	WT
PROTEIN_SECRETION	2/243	84/2390	0.998872886224763	0.999942712973719	0.887462056921979	DST/SNAP23	2	WT
G2M_CHECKPOINT	7/243	175/2390	0.999454917892484	0.999942712973719	0.887462056921979	KIF2C/NOLC1/NUMA1/ORC5/AMD1/TGFB1/SUV39H1	7	WT
DNA_REPAIR	3/243	125/2390	0.99986857617193	0.999942712973719	0.887462056921979	POLR2D/ELOA/RAD51	3	WT
E2F_TARGETS	6/243	186/2390	0.999942712973719	0.999942712973719	0.887462056921979	POP7/KIF2C/NOLC1/TUBB/MTHFD2/SUV39H1	6	WT
