Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
GO Biological Process	GO:0045089	positive regulation of innate immune response	31	3.050157e-23	3.184364e-19	1.027214e-20	2.425754	65.95888	160	0.0170701	0.04140787	47	1.186037e-06	0.01238223	0.0002634516	2.458024	13.42542	33	174	0.0237069	0.1896552	GO Biological Process	IFNG
GO Biological Process	GO:0032480	negative regulation of type I interferon production	32	4.393418e-23	4.586728e-19	1.433353e-20	6.396422	7.504196	48	0.00194208	0.01242236	405	0.005299178	1	0.136601	2.880109	2.777673	8	36	0.005747126	0.2222222	GO Biological Process	IFNG
GO Biological Process	GO:0034341	response to interferon-gamma	33	1.024008e-22	1.069064e-18	3.239589e-20	3.096235	33.58918	104	0.008692852	0.02691511	51	1.639203e-06	0.01711328	0.0003355545	2.980912	7.715759	23	100	0.01652299	0.23	GO Biological Process	IFNG
GO Biological Process	GO:0002821	positive regulation of adaptive immune response	34	7.05353e-22	7.363885e-18	2.165849e-19	3.980783	18.08689	72	0.004680873	0.01863354	111	4.511982e-05	0.4710509	0.004243702	3.187005	4.706613	15	61	0.01077586	0.2459016	GO Biological Process	IFNG
GO Biological Process	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	35	7.15761e-22	7.472545e-18	2.135013e-19	4.184213	16.25156	68	0.004205891	0.01759834	135	9.986812e-05	1	0.007723135	3.128394	4.47514	14	58	0.01005747	0.2413793	GO Biological Process	IFNG
MSigDB Pathway	PID_IL4_2PATHWAY	IL4-mediated signaling events	9	2.600889e-21	3.433173e-18	3.814637e-19	3.567935	22.42193	80	0.005802778	0.02070393	13	0.0002140422	0.2825357	0.02173352	2.926562	4.78377	14	62	0.01005747	0.2258065	MSigDB Pathway	IFNG
GO Biological Process	GO:0002218	activation of innate immune response	36	4.545921e-21	4.745942e-17	1.318317e-18	2.502259	54.3509	136	0.01406597	0.03519669	72	6.849302e-06	0.07150671	0.0009931488	2.468664	11.34217	28	147	0.02011494	0.1904762	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING	Genes involved in Negative regulators of RIG-I/MDA5 signaling	10	5.321604e-21	7.024517e-18	7.024517e-19	6.282267	7.003841	44	0.001812588	0.01138716	75	0.006744833	1	0.1187091	3.024114	2.314728	7	30	0.005028736	0.2333333	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	Genes involved in Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways	11	1.200759e-20	1.585002e-17	1.440911e-18	4.178346	15.31707	64	0.003964044	0.01656315	11	0.0001399353	0.1847146	0.01679224	3.380997	3.549249	12	46	0.00862069	0.2608696	MSigDB Pathway	IFNG
GO Biological Process	GO:0033673	negative regulation of kinase activity	37	2.412697e-20	2.518856e-16	6.807718e-18	2.208112	76.0831	168	0.01969024	0.04347826	99	2.963168e-05	0.3093547	0.003124795	2.183561	14.197	31	184	0.02227011	0.1684783	GO Biological Process	IFNG
GO Biological Process	GO:0060334	regulation of interferon-gamma-mediated signaling pathway	38	2.782991e-20	2.905443e-16	7.645902e-18	6.008227	7.323292	44	0.001895262	0.01138716	175	0.0002951408	1	0.01760726	4.320163	1.851782	8	24	0.005747126	0.3333333	GO Biological Process	IFNG
GO Biological Process	GO:0060330	regulation of response to interferon-gamma	39	2.959231e-20	3.089437e-16	7.921634e-18	5.998246	7.335478	44	0.001898416	0.01138716	191	0.0004048717	1	0.02213016	4.147356	1.92894	8	25	0.005747126	0.32	GO Biological Process	IFNG
GO Biological Process	GO:0006469	negative regulation of protein kinase activity	40	3.719739e-20	3.883408e-16	9.708519e-18	2.248848	71.14755	160	0.01841293	0.04140787	126	6.463062e-05	0.6747437	0.005355109	2.160081	13.42542	29	174	0.02083333	0.1666667	GO Biological Process	IFNG
GO Biological Process	GO:0071346	cellular response to interferon-gamma	41	4.727105e-20	4.935098e-16	1.203682e-17	3.167502	27.78215	88	0.007189996	0.02277433	81	1.151988e-05	0.1202675	0.001484785	3.00304	6.326922	19	82	0.01364943	0.2317073	GO Biological Process	IFNG
GO Biological Process	GO:0002703	regulation of leukocyte mediated immunity	42	4.996828e-20	5.216688e-16	1.242069e-17	2.905335	34.41944	100	0.008907724	0.02587992	96	2.612737e-05	0.2727697	0.002841351	2.547788	9.027438	23	117	0.01652299	0.1965812	GO Biological Process	IFNG
GO Biological Process	GO:0002758	innate immune response-activating signal transduction	43	5.107314e-20	5.332036e-16	1.240008e-17	2.468797	53.46735	132	0.0138373	0.03416149	76	7.816776e-06	0.08160714	0.001073778	2.499523	10.80206	27	140	0.01939655	0.1928571	GO Biological Process	IFNG
GO Biological Process	GO:0002706	regulation of lymphocyte mediated immunity	44	5.616563e-20	5.863692e-16	1.332657e-17	3.15857	27.86071	88	0.007210328	0.02277433	98	2.623036e-05	0.273845	0.002794336	2.757551	7.252813	20	94	0.01436782	0.212766	GO Biological Process	IFNG
MSigDB Pathway	PID_ATF2_PATHWAY	ATF-2 transcription factor network	12	8.109621e-20	1.07047e-16	8.920583e-18	3.244057	25.8935	84	0.006701216	0.02173913	24	0.0004596282	0.6067092	0.02527955	2.855701	4.552298	13	59	0.00933908	0.220339	MSigDB Pathway	IFNG
GO Biological Process	GO:0002697	regulation of immune effector process	45	9.966305e-20	1.040482e-15	2.312183e-17	2.175037	77.24008	168	0.01998967	0.04347826	136	0.0001049851	1	0.00805915	1.91051	19.36655	37	251	0.02658046	0.1474104	GO Biological Process	IFNG
GO Biological Process	GO:0051348	negative regulation of transferase activity	46	1.346572e-19	1.405821e-15	3.056133e-17	2.145218	80.17835	172	0.02075009	0.04451346	108	3.797808e-05	0.3964912	0.003671214	2.126849	15.04573	32	195	0.02298851	0.1641026	GO Biological Process	IFNG
GO Biological Process	GO:0050829	defense response to Gram-negative bacterium	47	1.754659e-19	1.831864e-15	3.897583e-17	6.388646	6.261108	40	0.00162037	0.01035197	150	0.0001475049	1	0.01026634	4.712905	1.697467	8	22	0.005747126	0.3636364	GO Biological Process	IFNG
GO Biological Process	GO:0002705	positive regulation of leukocyte mediated immunity	49	2.97695e-19	3.107936e-15	6.342726e-17	3.720217	18.2785	68	0.004730461	0.01759834	111	4.511982e-05	0.4710509	0.004243702	3.187005	4.706613	15	61	0.01077586	0.2459016	GO Biological Process	IFNG
GO Biological Process	GO:0035872	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	50	3.815198e-19	3.983067e-15	7.966133e-17	3.891549	16.44589	64	0.004256183	0.01656315	138	0.0001111603	1	0.008409518	3.45613	3.472091	12	45	0.00862069	0.2666667	GO Biological Process	IFNG
MSigDB Pathway	PID_A6B1_A6B4_INTEGRIN_PATHWAY	a6b1 and a6b4 Integrin signaling	13	4.498542e-19	5.938075e-16	4.56775e-17	3.689769	18.42934	68	0.004769498	0.01759834	4	5.67141e-06	0.007486261	0.001871565	3.944497	3.549249	14	46	0.01005747	0.3043478	MSigDB Pathway	IFNG
GO Biological Process	GO:0031581	hemidesmosome assembly	51	6.002348e-19	6.266451e-15	1.228716e-16	8.227268	3.889505	32	0.001006601	0.008281573	143	0.0001284464	1	0.009377485	6.480244	0.925891	6	12	0.004310345	0.5	GO Biological Process	IFNG
GO Biological Process	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	52	8.054807e-19	8.409219e-15	1.617157e-16	2.856846	33.6035	96	0.008696557	0.02484472	103	3.278509e-05	0.3422763	0.003323071	2.64243	7.947231	21	103	0.01508621	0.2038835	GO Biological Process	IFNG
GO Biological Process	GO:0002221	pattern recognition receptor signaling pathway	53	1.220088e-18	1.273772e-14	2.403343e-16	2.409599	53.12087	128	0.01374764	0.03312629	85	1.541303e-05	0.160912	0.001893083	2.459655	10.57059	26	137	0.01867816	0.189781	GO Biological Process	IFNG
GO Biological Process	GO:0050830	defense response to Gram-positive bacterium	55	3.19962e-18	3.340403e-14	6.073461e-16	4.462113	11.65367	52	0.003015961	0.01345756	314	0.002405832	1	0.07999008	2.990882	3.009146	9	39	0.006465517	0.2307692	GO Biological Process	IFNG
MSigDB Pathway	PID_IL6_7PATHWAY	IL6-mediated signaling events	14	3.437569e-18	4.537591e-15	3.241136e-16	3.26009	23.31224	76	0.006033187	0.01966874	9	3.809007e-05	0.05027889	0.005586544	3.584816	3.626407	13	47	0.00933908	0.2765957	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_REGULATION_OF_IFNG_SIGNALING	Genes involved in Regulation of IFNG signaling	15	3.828029e-18	5.052998e-15	3.368666e-16	6.609217	5.446939	36	0.001409663	0.00931677	15	0.0002229686	0.2943186	0.01962124	5.981764	1.003049	6	13	0.004310345	0.4615385	MSigDB Pathway	IFNG
GO Biological Process	GO:0002708	positive regulation of lymphocyte mediated immunity	56	8.542688e-18	8.918566e-14	1.592601e-15	3.645307	17.55682	64	0.004543691	0.01656315	139	0.0001217468	1	0.009144148	3.07537	4.552298	14	59	0.01005747	0.2372881	GO Biological Process	IFNG
GO Biological Process	GO:0010713	negative regulation of collagen metabolic process	59	3.96852e-17	4.143135e-13	7.022263e-15	14.89845	1.342422	20	0.0003474176	0.005175983	106	3.530087e-05	0.3685411	0.003476803	12.96049	0.3086303	4	4	0.002873563	1	GO Biological Process	IFNG
GO Biological Process	GO:0043123	positive regulation of I-kappaB kinase/NF-kappaB cascade	60	6.226255e-17	6.50021e-13	1.083368e-14	2.446347	45.78255	112	0.01184849	0.02898551	231	0.0008009386	1	0.03619826	2.041721	11.26501	23	146	0.01652299	0.1575342	GO Biological Process	IFNG
GO Biological Process	GO:0048525	negative regulation of viral process	61	9.095378e-17	9.495575e-13	1.556652e-14	4.415101	10.87178	48	0.002813607	0.01242236	345	0.003159496	1	0.0956091	2.700102	3.703564	10	48	0.007183908	0.2083333	GO Biological Process	IFNG
GO Biological Process	GO:0002699	positive regulation of immune effector process	63	1.25817e-16	1.313529e-12	2.084967e-14	2.467697	43.76551	108	0.01132648	0.02795031	89	1.953848e-05	0.2039817	0.00229193	2.592098	8.873122	23	115	0.01652299	0.2	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_STEM_PATHWAY	Regulation of hematopoiesis by cytokines	16	8.276756e-16	1.092532e-12	6.828324e-14	7.516175	3.725299	28	0.0009641043	0.007246377	140	0.02419739	1	0.2281468	3.45613	1.157364	4	15	0.002873563	0.2666667	MSigDB Pathway	IFNG
GO Biological Process	GO:0001916	positive regulation of T cell mediated cytotoxicity	69	1.062657e-15	1.109414e-11	1.607846e-13	5.487501	6.560363	36	0.001697817	0.00931677	215	0.0005455678	1	0.02649176	3.987843	2.006097	8	26	0.005747126	0.3076923	GO Biological Process	IFNG
GO Biological Process	GO:0002224	toll-like receptor signaling pathway	70	1.068098e-15	1.115094e-11	1.592992e-13	2.344303	47.77539	112	0.01236423	0.02898551	123	5.954009e-05	0.6215985	0.005053647	2.423506	9.490383	23	123	0.01652299	0.1869919	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_REGULATION_OF_IFNA_SIGNALING	Genes involved in Regulation of IFNA signaling	17	2.364088e-15	3.120596e-12	1.835645e-13	7.199297	3.889269	28	0.00100654	0.007246377	312	0.1091605	1	0.4618329	2.160081	1.851782	4	24	0.002873563	0.1666667	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	Genes involved in Antiviral mechanism by IFN-stimulated genes	18	3.365137e-15	4.441981e-12	2.467767e-13	3.352104	17.8992	60	0.004632299	0.01552795	56	0.003715734	1	0.08758516	2.392706	5.015243	12	65	0.00862069	0.1846154	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_NOD1_2_SIGNALING_PATHWAY	Genes involved in NOD1/2 Signaling Pathway	19	3.434642e-15	4.533727e-12	2.386172e-13	4.324136	10.17544	44	0.002633397	0.01138716	82	0.008143675	1	0.1310933	2.926562	2.391885	7	31	0.005028736	0.2258065	MSigDB Pathway	IFNG
MSigDB Pathway	PID_IL2_1PATHWAY	IL2-mediated signaling events	20	4.203546e-15	5.548681e-12	2.77434e-13	3.054313	22.2636	68	0.005761801	0.01759834	14	0.000220022	0.290429	0.02074493	3.063388	4.243667	13	55	0.00933908	0.2363636	MSigDB Pathway	IFNG
GO Biological Process	GO:0034124	regulation of MyD88-dependent toll-like receptor signaling pathway	71	4.616775e-15	4.819913e-11	6.78861e-13	34.53652	0.3474583	12	8.992192e-05	0.00310559	602	0.01693118	1	0.2936238	8.640326	0.2314728	2	3	0.001436782	0.6666667	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_IL_6_SIGNALING	Genes involved in Interleukin-6 signaling	21	4.651229e-15	6.139622e-12	2.92363e-13	7.001045	3.999403	28	0.001035042	0.007246377	61	0.005077003	1	0.109863	5.184195	0.7715759	4	10	0.002873563	0.4	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_TRIF_MEDIATED_TLR3_SIGNALING	Genes involved in TRIF mediated TLR3 signaling	22	5.389798e-15	7.114533e-12	3.233879e-13	2.740949	29.18698	80	0.007553565	0.02070393	20	0.0003309859	0.4369014	0.02184507	2.700102	5.555346	15	72	0.01077586	0.2083333	MSigDB Pathway	IFNG
MSigDB Pathway	PID_INTEGRIN4_PATHWAY	Alpha6 beta4 integrin-ligand interactions	23	5.411928e-15	7.143745e-12	3.105976e-13	5.913896	5.410984	32	0.001400358	0.008281573	10	6.871666e-05	0.09070599	0.009070599	7.069357	0.8487334	6	11	0.004310345	0.5454545	MSigDB Pathway	IFNG
GO Biological Process	GO:0060338	regulation of type I interferon-mediated signaling pathway	72	6.54598e-15	6.834003e-11	9.491671e-13	4.639212	8.622153	40	0.002231406	0.01035197	666	0.02131856	1	0.3341828	2.451984	2.854831	7	37	0.005028736	0.1891892	GO Biological Process	IFNG
MSigDB Pathway	PID_AP1_PATHWAY	AP-1 transcription factor network	24	8.568748e-15	1.131075e-11	4.712811e-13	2.57152	34.22101	88	0.008856368	0.02277433	17	0.0002391038	0.315617	0.01856571	2.777248	5.401031	15	70	0.01077586	0.2142857	MSigDB Pathway	IFNG
GO Biological Process	GO:0002579	positive regulation of antigen processing and presentation	73	1.051432e-14	1.097695e-10	1.503692e-12	16.59122	0.9643656	16	0.000249577	0.004140787	704	0.0270509	1	0.4011526	4.320163	0.6944183	3	9	0.002155172	0.3333333	GO Biological Process	IFNG
GO Biological Process	GO:0001818	negative regulation of cytokine production	74	1.071559e-14	1.118708e-10	1.511767e-12	2.302415	46.90727	108	0.01213956	0.02795031	326	0.002687014	1	0.08605039	1.930286	10.87922	21	141	0.01508621	0.1489362	GO Biological Process	IFNG
GO Biological Process	GO:0018277	protein deamination	75	1.394806e-14	1.456177e-10	1.94157e-12	31.41346	0.3820018	12	9.886175e-05	0.00310559	425	0.005949346	1	0.1461439	12.96049	0.1543152	2	2	0.001436782	1	GO Biological Process	IFNG
GO Biological Process	GO:0031343	positive regulation of cell killing	77	1.520574e-14	1.587479e-10	2.061661e-12	3.600282	14.44331	52	0.003737918	0.01345756	119	5.307094e-05	0.5540606	0.004655972	3.702997	3.240619	12	42	0.00862069	0.2857143	GO Biological Process	IFNG
GO Biological Process	GO:0001914	regulation of T cell mediated cytotoxicity	79	3.14323e-14	3.281532e-10	4.153838e-12	4.413793	9.0625	40	0.002345367	0.01035197	189	0.0004006469	1	0.02213097	3.762722	2.391885	9	31	0.006465517	0.2903226	GO Biological Process	IFNG
GO Biological Process	GO:0043900	regulation of multi-organism process	81	4.43949e-14	4.634828e-10	5.722009e-12	2.033336	66.88515	136	0.01730982	0.03519669	341	0.003028665	1	0.09272511	1.697881	17.66909	30	229	0.02155172	0.1310044	GO Biological Process	IFNG
GO Biological Process	GO:0070423	nucleotide-binding oligomerization domain containing signaling pathway	84	6.872504e-14	7.174894e-10	8.541541e-12	3.956836	11.12	44	0.002877846	0.01138716	392	0.004490973	1	0.1196065	3.240122	2.160412	7	28	0.005028736	0.25	GO Biological Process	IFNG
GO Biological Process	GO:0031341	regulation of cell killing	85	7.344531e-14	7.66769e-10	9.020812e-12	3.269642	17.12726	56	0.004432521	0.01449275	129	7.728233e-05	0.8068275	0.006254477	3.369727	3.857879	13	50	0.00933908	0.26	GO Biological Process	IFNG
GO Biological Process	GO:0060396	growth hormone receptor signaling pathway	86	8.320178e-14	8.686266e-10	1.010031e-11	3.441763	15.10854	52	0.003910077	0.01345756	97	2.613796e-05	0.2728803	0.002813199	4.628746	2.160412	10	28	0.007183908	0.3571429	GO Biological Process	IFNG
GO Biological Process	GO:0032481	positive regulation of type I interferon production	87	8.585823e-14	8.963599e-10	1.030299e-11	3.103402	19.33362	60	0.005003526	0.01552795	528	0.01069628	1	0.2114946	2.101701	5.709661	12	74	0.00862069	0.1621622	GO Biological Process	IFNG
GO Biological Process	GO:0071378	cellular response to growth hormone stimulus	88	1.03441e-13	1.079924e-09	1.227186e-11	3.421774	15.1968	52	0.003932918	0.01345756	107	3.71467e-05	0.3878115	0.003624407	4.469134	2.23757	10	29	0.007183908	0.3448276	GO Biological Process	IFNG
GO Biological Process	GO:2000564	regulation of CD8-positive, alpha-beta T cell proliferation	90	1.709516e-13	1.784735e-09	1.983039e-11	25.314	0.4740459	12	0.0001226827	0.00310559	425	0.005949346	1	0.1461439	12.96049	0.1543152	2	2	0.001436782	1	GO Biological Process	IFNG
GO Biological Process	GO:0043330	response to exogenous dsRNA	91	1.735354e-13	1.81171e-09	1.99089e-11	5.187626	6.168525	32	0.001596409	0.008281573	307	0.002235039	1	0.07600589	3.628937	1.92894	7	25	0.005028736	0.28	GO Biological Process	IFNG
GO Biological Process	GO:0007044	cell-substrate junction assembly	92	2.008195e-13	2.096556e-09	2.278865e-11	3.571726	13.43888	48	0.003477971	0.01242236	174	0.0002864693	1	0.01718816	3.600136	2.777673	10	36	0.007183908	0.2777778	GO Biological Process	IFNG
GO Biological Process	GO:0042488	positive regulation of odontogenesis of dentin-containing tooth	93	2.410821e-13	2.516897e-09	2.706341e-11	24.57223	0.4883562	12	0.0001263862	0.00310559	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
GO Biological Process	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	94	2.524386e-13	2.635459e-09	2.80368e-11	3.548462	13.52699	48	0.003500773	0.01242236	141	0.0001232696	1	0.009127196	3.655522	3.009146	11	39	0.007902299	0.2820513	GO Biological Process	IFNG
GO Biological Process	GO:0035666	TRIF-dependent toll-like receptor signaling pathway	95	2.614972e-13	2.730031e-09	2.873717e-11	2.538673	31.51253	80	0.008155416	0.02070393	166	0.0002189005	1	0.013767	2.693089	5.941134	16	77	0.01149425	0.2077922	GO Biological Process	IFNG
GO Biological Process	GO:0001798	positive regulation of type IIa hypersensitivity	96	2.777956e-13	2.900186e-09	3.021027e-11	77.911	0.1026813	8	2.657383e-05	0.002070393	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
GO Biological Process	GO:0046425	regulation of JAK-STAT cascade	97	4.248406e-13	4.435336e-09	4.572511e-11	2.513831	31.82394	80	0.008236009	0.02070393	293	0.001836092	1	0.06542253	2.387458	5.863976	14	76	0.01005747	0.1842105	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING	Genes involved in Growth hormone receptor signaling	25	4.43784e-13	5.857949e-10	2.34318e-11	3.739314	11.76686	44	0.003045255	0.01138716	18	0.0002951408	0.3895859	0.02164366	4.320163	1.851782	8	24	0.005747126	0.3333333	MSigDB Pathway	IFNG
GO Biological Process	GO:0032966	negative regulation of collagen biosynthetic process	98	4.442092e-13	4.637544e-09	4.732188e-11	12.92179	1.238218	16	0.0003204499	0.004140787	203	0.0004584285	1	0.02357632	12.96049	0.2314728	3	3	0.002155172	1	GO Biological Process	IFNG
GO Biological Process	GO:0060397	JAK-STAT cascade involved in growth hormone signaling pathway	99	4.917215e-13	5.133572e-09	5.185427e-11	3.727588	11.80388	44	0.003054834	0.01138716	191	0.0004048717	1	0.02213016	4.147356	1.92894	8	25	0.005747126	0.32	GO Biological Process	IFNG
MSigDB Pathway	ST_P38_MAPK_PATHWAY	p38 MAPK Pathway	26	5.266757e-13	6.952119e-10	2.673892e-11	3.274571	15.87994	52	0.004109717	0.01345756	129	0.02131856	1	0.2181434	2.451984	2.854831	7	37	0.005028736	0.1891892	MSigDB Pathway	IFNG
GO Biological Process	GO:0070206	protein trimerization	102	6.614292e-13	6.905321e-09	6.769922e-11	4.394017	8.192958	36	0.002120331	0.00931677	317	0.002425202	1	0.07987101	3.240122	2.469043	8	32	0.005747126	0.25	GO Biological Process	IFNG
GO Biological Process	GO:0071347	cellular response to interleukin-1	105	9.02791e-13	9.425138e-09	8.976322e-11	3.065522	18.26769	56	0.004727662	0.01449275	119	5.307094e-05	0.5540606	0.004655972	3.702997	3.240619	12	42	0.00862069	0.2857143	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS	Genes involved in Extrinsic Pathway for Apoptosis	27	9.05562e-13	1.195342e-09	4.427192e-11	8.612866	2.322108	20	0.0006009595	0.005175983	109	0.01434128	1	0.1736742	3.987843	1.003049	4	13	0.002873563	0.3076923	MSigDB Pathway	IFNG
GO Biological Process	GO:0045071	negative regulation of viral genome replication	106	9.401948e-13	9.815634e-09	9.260032e-11	4.339356	8.296162	36	0.00214704	0.00931677	666	0.02131856	1	0.3341828	2.451984	2.854831	7	37	0.005028736	0.1891892	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_TOLL_RECEPTOR_CASCADES	Genes involved in Toll Receptor Cascades	28	9.870874e-13	1.302955e-09	4.653412e-11	2.17358	47.84733	104	0.01238285	0.02691511	12	0.0001737008	0.2292851	0.01910709	2.366698	8.873122	21	115	0.01508621	0.1826087	MSigDB Pathway	IFNG
GO Biological Process	GO:0001910	regulation of leukocyte mediated cytotoxicity	107	1.118872e-12	1.168102e-08	1.091684e-10	3.207712	16.21093	52	0.004195376	0.01345756	159	0.0001748537	1	0.01148096	3.309061	3.626407	12	47	0.00862069	0.2553191	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_ETS_PATHWAY	METS affect on Macrophage Differentiation	29	1.27949e-12	1.688927e-09	5.823886e-11	4.291867	8.387958	36	0.002170797	0.00931677	92	0.009945457	1	0.1426957	3.600136	1.388837	5	18	0.003591954	0.2777778	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_HEMATOPOIETIC_CELL_LINEAGE	Hematopoietic cell lineage	30	1.386519e-12	1.830205e-09	6.100684e-11	2.685205	25.32395	68	0.006553818	0.01759834	71	0.005907952	1	0.109838	2.109847	6.635552	14	86	0.01005747	0.1627907	MSigDB Pathway	IFNG
GO Biological Process	GO:0002711	positive regulation of T cell mediated immunity	111	1.390059e-12	1.451222e-08	1.307407e-10	3.901766	10.25177	40	0.002653149	0.01035197	314	0.002405832	1	0.07999008	2.990882	3.009146	9	39	0.006465517	0.2307692	GO Biological Process	IFNG
GO Biological Process	GO:0001959	regulation of cytokine-mediated signaling pathway	113	1.526323e-12	1.593481e-08	1.41016e-10	2.448799	32.66907	80	0.008454729	0.02070393	182	0.000353099	1	0.02025469	2.503731	6.789868	17	88	0.01221264	0.1931818	GO Biological Process	IFNG
GO Biological Process	GO:0034138	toll-like receptor 3 signaling pathway	115	1.627636e-12	1.699252e-08	1.47761e-10	2.445547	32.71251	80	0.008465972	0.02070393	190	0.0004015092	1	0.02206187	2.560096	6.249764	16	81	0.01149425	0.1975309	GO Biological Process	IFNG
GO Biological Process	GO:0043901	negative regulation of multi-organism process	116	2.017868e-12	2.106654e-08	1.816081e-10	3.001623	18.65657	56	0.004828306	0.01449275	528	0.01069628	1	0.2114946	2.101701	5.709661	12	74	0.00862069	0.1621622	GO Biological Process	IFNG
MSigDB Pathway	PID_P53DOWNSTREAMPATHWAY	Direct p53 effectors	31	2.049081e-12	2.704787e-09	8.725119e-11	2.111042	51.15958	108	0.01324006	0.02795031	44	0.001877733	1	0.05633199	1.986644	10.57059	21	137	0.01508621	0.1532847	MSigDB Pathway	IFNG
GO Biological Process	GO:0002756	MyD88-independent toll-like receptor signaling pathway	117	2.101493e-12	2.193959e-08	1.875178e-10	2.432633	32.88618	80	0.008510915	0.02070393	181	0.0003466245	1	0.01999315	2.592098	6.172607	16	80	0.01149425	0.2	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	Genes involved in TRAF6 mediated IRF7 activation	32	2.105817e-12	2.779678e-09	8.686495e-11	5.405666	5.179751	28	0.001340515	0.007246377	250	0.07721522	1	0.4076964	2.160081	2.314728	5	30	0.003591954	0.1666667	MSigDB Pathway	IFNG
GO Biological Process	GO:0002158	osteoclast proliferation	118	2.146072e-12	2.240499e-08	1.898728e-10	8.204359	2.437728	20	0.0006308821	0.005175983	203	0.0004584285	1	0.02357632	12.96049	0.2314728	3	3	0.002155172	1	GO Biological Process	IFNG
GO Biological Process	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	120	2.310196e-12	2.411845e-08	2.009871e-10	3.553594	12.38183	44	0.003204407	0.01138716	571	0.01361633	1	0.2489571	2.668336	2.623358	7	34	0.005028736	0.2058824	GO Biological Process	IFNG
GO Biological Process	GO:1900153	positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	122	3.138159e-12	3.276238e-08	2.685441e-10	5.312796	5.270294	28	0.001363948	0.007246377	403	0.005077003	1	0.1315234	5.184195	0.7715759	4	10	0.002873563	0.4	GO Biological Process	IFNG
GO Biological Process	GO:0033574	response to testosterone stimulus	123	3.662222e-12	3.82336e-08	3.108423e-10	6.285243	3.818468	24	0.0009882163	0.00621118	344	0.003149208	1	0.0955748	3.888147	1.543152	6	20	0.004310345	0.3	GO Biological Process	IFNG
GO Biological Process	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	125	4.226324e-12	4.412282e-08	3.529826e-10	2.339312	35.908	84	0.009292959	0.02173913	213	0.0005339974	1	0.02617339	2.498407	6.40408	16	83	0.01149425	0.1927711	GO Biological Process	IFNG
MSigDB Pathway	KEGG_APOPTOSIS	Apoptosis	33	4.587975e-12	6.056127e-09	1.83519e-10	2.611806	26.03562	68	0.006737998	0.01759834	47	0.002538391	1	0.07129098	2.234567	6.71271	15	87	0.01077586	0.1724138	MSigDB Pathway	IFNG
GO Biological Process	GO:0015993	molecular hydrogen transport	126	4.686227e-12	4.892421e-08	3.882874e-10	18.9792	0.632271	12	0.0001636312	0.00310559	425	0.005949346	1	0.1461439	12.96049	0.1543152	2	2	0.001436782	1	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_INFLAM_PATHWAY	Cytokines and Inflammatory Response	34	4.694708e-12	6.197015e-09	1.822651e-10	3.746389	10.67695	40	0.002763185	0.01035197	127	0.02128713	1	0.2212521	2.68148	2.23757	6	29	0.004310345	0.2068966	MSigDB Pathway	IFNG
MSigDB Pathway	PID_IL3_PATHWAY	IL3-mediated signaling events	35	4.867482e-12	6.425076e-09	1.835736e-10	4.090206	8.801514	36	0.002277824	0.00931677	112	0.01512686	1	0.1782808	2.880109	2.083255	6	27	0.004310345	0.2222222	MSigDB Pathway	IFNG
