Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
GO Biological Process	GO:0042730	fibrinolysis	39	3.646229e-16	3.806663e-12	9.760675e-14	9.729501	2.466725	24	0.000764165	0.007434944	690	0.02634828	1	0.3986609	3.409108	1.173327	4	18	0.003401361	0.2222222	GO Biological Process	IFN1
GO Biological Process	GO:0042982	amyloid precursor protein metabolic process	41	4.696192e-16	4.902824e-12	1.195811e-13	9.616406	2.495735	24	0.0007731521	0.007434944	1241	0.06981917	1	0.5873587	3.068197	0.9777729	3	15	0.00255102	0.2	GO Biological Process	IFN1
GO Biological Process	GO:0060416	response to growth hormone stimulus	42	5.257589e-16	5.488923e-12	1.306886e-13	3.690754	15.17305	56	0.00470045	0.0173482	130	0.0002443771	1	0.01962536	4.060849	2.216285	9	34	0.007653061	0.2647059	GO Biological Process	IFN1
GO Biological Process	GO:0034341	response to interferon-gamma	44	6.417547e-16	6.699919e-12	1.522709e-13	2.85098	28.06053	80	0.008692852	0.02478315	83	7.359498e-05	0.7683316	0.009257007	2.761378	6.518486	18	100	0.01530612	0.18	GO Biological Process	IFN1
GO Biological Process	GO:0071347	cellular response to interleukin-1	45	6.674214e-16	6.967879e-12	1.548418e-13	3.66951	15.26089	56	0.004727662	0.0173482	211	0.001297464	1	0.0641968	3.287354	2.737764	9	42	0.007653061	0.2142857	GO Biological Process	IFN1
MSigDB Pathway	PID_A6B1_A6B4_INTEGRIN_PATHWAY	a6b1 and a6b4 Integrin signaling	11	9.596828e-16	1.266781e-12	1.151619e-13	3.637323	15.39594	56	0.004769498	0.0173482	3	2.724077e-05	0.03595782	0.01198594	4.001996	2.998503	12	46	0.01020408	0.2608696	MSigDB Pathway	IFN1
GO Biological Process	GO:0018277	protein deamination	48	1.702017e-15	1.776906e-11	3.701887e-13	37.60273	0.3191257	12	9.886175e-05	0.003717472	329	0.004245688	1	0.1347264	15.34099	0.1303697	2	2	0.00170068	1	GO Biological Process	IFN1
GO Biological Process	GO:0002697	regulation of immune effector process	50	2.878687e-15	3.005349e-11	6.010698e-13	2.107656	64.52665	136	0.01998967	0.04213135	187	0.000968443	1	0.05406709	1.833584	16.3614	30	251	0.0255102	0.1195219	GO Biological Process	IFN1
MSigDB Pathway	KEGG_LEISHMANIA_INFECTION	Leishmania infection	12	5.259844e-15	6.942994e-12	5.785828e-13	3.313648	18.10693	60	0.005609334	0.01858736	11	0.0004524835	0.5972782	0.05429802	2.890331	4.497755	13	69	0.01105442	0.1884058	MSigDB Pathway	IFN1
GO Biological Process	GO:0006829	zinc ion transport	53	7.818581e-15	8.162599e-11	1.540113e-12	4.609679	8.677395	40	0.002688164	0.01239157	672	0.02437784	1	0.3787272	2.95019	1.694806	5	26	0.004251701	0.1923077	GO Biological Process	IFN1
GO Biological Process	GO:0010043	response to zinc ion	56	1.216129e-14	1.269639e-10	2.267212e-12	5.047763	7.131872	36	0.002209378	0.01115242	705	0.02744302	1	0.4063903	2.556831	2.346655	6	36	0.005102041	0.1666667	GO Biological Process	IFN1
GO Biological Process	GO:0071346	cellular response to interferon-gamma	61	2.706742e-14	2.825839e-10	4.632522e-12	2.929859	23.20931	68	0.007189996	0.02106568	127	0.0002383222	1	0.01959121	2.806278	5.345158	15	82	0.0127551	0.1829268	GO Biological Process	IFN1
GO Biological Process	GO:0032966	negative regulation of collagen biosynthetic process	62	3.00786e-14	3.140206e-10	5.064848e-12	15.46772	1.034412	16	0.0003204499	0.004956629	504	0.01218443	1	0.2523918	10.22732	0.1955546	2	3	0.00170068	0.6666667	GO Biological Process	IFN1
MSigDB Pathway	REACTOME_EXTRINSIC_PATHWAY_FOR_APOPTOSIS	Genes involved in Extrinsic Pathway for Apoptosis	13	3.531543e-14	4.661637e-11	3.585874e-12	10.30982	1.939897	20	0.0006009595	0.006195787	115	0.04831679	1	0.5545927	3.540228	0.8474031	3	13	0.00255102	0.2307692	MSigDB Pathway	IFN1
MSigDB Pathway	PID_P53DOWNSTREAMPATHWAY	Direct p53 effectors	14	3.665502e-14	4.838463e-11	3.456045e-12	2.339789	42.7389	100	0.01324006	0.03097893	29	0.003463636	1	0.1576552	2.015604	8.930325	18	137	0.01530612	0.1313869	MSigDB Pathway	IFN1
GO Biological Process	GO:0001798	positive regulation of type IIa hypersensitivity	64	6.680261e-14	6.974192e-10	1.089718e-11	93.26149	0.08578032	8	2.657383e-05	0.002478315	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0002821	positive regulation of adaptive immune response	65	8.063233e-14	8.418015e-10	1.295079e-11	3.441462	15.10986	52	0.004680873	0.01610905	237	0.001767213	1	0.07784685	2.766407	3.976276	11	61	0.009353741	0.1803279	GO Biological Process	IFN1
GO Biological Process	GO:0010713	negative regulation of collagen metabolic process	66	1.010272e-13	1.054724e-09	1.598067e-11	14.26707	1.121464	16	0.0003474176	0.004956629	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0002705	positive regulation of leukocyte mediated immunity	68	1.19551e-13	1.248112e-09	1.835459e-11	3.405386	15.26993	52	0.004730461	0.01610905	237	0.001767213	1	0.07784685	2.766407	3.976276	11	61	0.009353741	0.1803279	GO Biological Process	IFN1
GO Biological Process	GO:0002703	regulation of leukocyte mediated immunity	70	1.407066e-13	1.468977e-09	2.098538e-11	2.643098	28.75413	76	0.008907724	0.02354399	315	0.003809097	1	0.1262444	2.097913	7.626628	16	117	0.01360544	0.1367521	GO Biological Process	IFN1
GO Biological Process	GO:0007259	JAK-STAT cascade	71	1.893977e-13	1.977312e-09	2.784946e-11	3.188614	17.56249	56	0.005440672	0.0173482	133	0.0002522216	1	0.01979845	3.443895	3.194058	11	49	0.009353741	0.2244898	GO Biological Process	IFN1
GO Biological Process	GO:0001516	prostaglandin biosynthetic process	72	2.358746e-13	2.462531e-09	3.420182e-11	5.935103	4.717694	28	0.001461491	0.008674102	213	0.001327677	1	0.06507487	4.602296	1.303697	6	20	0.005102041	0.3	GO Biological Process	IFN1
GO Biological Process	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	73	2.783968e-13	2.906463e-09	3.981456e-11	3.535491	13.57662	48	0.004205891	0.01486989	318	0.003955525	1	0.1298606	2.644998	3.780722	10	58	0.008503401	0.1724138	GO Biological Process	IFN1
GO Biological Process	GO:0002819	regulation of adaptive immune response	75	6.543032e-13	6.830925e-09	9.107901e-11	2.48877	32.14439	80	0.009957988	0.02478315	264	0.002440327	1	0.09650384	2.191569	7.300704	16	112	0.01360544	0.1428571	GO Biological Process	IFN1
GO Biological Process	GO:0002889	regulation of immunoglobulin mediated immune response	76	8.974224e-13	9.36909e-09	1.232775e-10	4.343582	8.28809	36	0.002567562	0.01115242	420	0.007736303	1	0.1923024	2.98297	2.346655	7	36	0.005952381	0.1944444	GO Biological Process	IFN1
GO Biological Process	GO:0002712	regulation of B cell mediated immunity	77	1.033191e-12	1.078651e-08	1.400846e-10	4.321817	8.32983	36	0.002580492	0.01115242	442	0.009016884	1	0.212978	2.902349	2.41184	7	37	0.005952381	0.1891892	GO Biological Process	IFN1
