Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov
GO Biological Process	GO:0034341	response to interferon-gamma	92	3.403908e-05	0.355368	0.003862696	2.434169	11.09208	27	0.008692852	0.02115987	610	0.01735755	1	0.2970702	1.768725	9.046062	16	100	0.009803922	0.16
GO Biological Process	GO:0031444	slow-twitch skeletal muscle fiber contraction	93	3.52185e-05	0.3676811	0.003953561	49.57487	0.06051453	3	4.742518e-05	0.002351097	2088	0.1727427	1	0.8637135	5.527267	0.1809212	1	2	0.0006127451	0.5
GO Biological Process	GO:0032649	regulation of interferon-gamma production	98	4.112225e-05	0.4293163	0.004380778	2.564682	9.357887	24	0.007333767	0.01880878	796	0.02726372	1	0.3575794	1.842422	6.513164	12	72	0.007352941	0.1666667
GO Biological Process	GO:0045824	negative regulation of innate immune response	102	5.191239e-05	0.5419654	0.005313386	5.512089	1.632775	9	0.001279604	0.007053292	3699	0.3990789	1	1	1.473938	1.356909	2	15	0.00122549	0.1333333
GO Biological Process	GO:0030857	negative regulation of epithelial cell differentiation	103	5.337056e-05	0.5571886	0.005409599	3.121997	5.445232	17	0.004267423	0.01332288	362	0.004267232	1	0.123066	3.224239	2.171055	7	24	0.004289216	0.2916667
GO Biological Process	GO:0006909	phagocytosis	104	5.422316e-05	0.5660898	0.005443171	2.095726	16.70066	35	0.01308829	0.02742947	1011	0.04527496	1	0.4675278	1.511051	12.57403	19	139	0.01164216	0.1366906
GO Biological Process	GO:0045621	positive regulation of lymphocyte differentiation	108	6.367969e-05	0.664816	0.006155703	2.438006	10.25428	25	0.008036271	0.01959248	1593	0.0910267	1	0.5965592	1.602106	6.241783	10	69	0.006127451	0.1449275
GO Biological Process	GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	110	6.584265e-05	0.6873973	0.006249066	4.354009	2.526407	11	0.001979943	0.00862069	2439	0.1946947	1	0.8333795	1.9508	1.53783	3	17	0.001838235	0.1764706
GO Biological Process	GO:0015015	heparan sulfate proteoglycan biosynthetic process, enzymatic modification	111	6.655813e-05	0.6948669	0.006260062	5.333367	1.687489	9	0.001322484	0.007053292	195	0.0007390131	1	0.03956562	11.05453	0.2713819	3	3	0.001838235	1
GO Biological Process	GO:0019062	viral attachment to host cell	112	6.688689e-05	0.6982991	0.006234814	12.24884	0.4082019	5	0.0003199075	0.003918495	4354	0.5317206	1	1	1.381817	0.7236849	1	8	0.0006127451	0.125
GO Biological Process	GO:0001957	intramembranous ossification	114	6.784912e-05	0.7083448	0.006213551	6.09184	1.313232	8	0.001029179	0.006269592	1617	0.09597935	1	0.6196811	3.684845	0.5427637	2	6	0.00122549	0.3333333
GO Biological Process	GO:0032873	negative regulation of stress-activated MAPK cascade	115	6.835738e-05	0.713651	0.006205661	3.524896	3.971748	14	0.003112655	0.01097179	3997	0.4468047	1	1	1.228282	2.442437	3	27	0.001838235	0.1111111
