Estimate	Std. Error	df	t value	Pr(>|t|)	feature	p.adjust	group
0.00108157687042616	0.000220991456598098	82521.2711635137	4.89420218806535	9.88911340299934e-07	HERVK13-int	3.18649209652201e-06	IFN1
0.000366986344815741	0.000159205952507423	82525.7991537391	2.30510442000357	0.0211631945886346	HERVK22-int	0.0454616772644744	IFN1
0.00209539351169878	0.00015410256479983	82528.2098185572	13.5973954386844	4.60664404500574e-42	HERVK9-int	5.34370709220666e-41	IFN1
0.00108429748581618	0.00023471611146127	82521.9657050544	4.61961251430796	3.85037008097623e-06	HERVKC4-int	1.17537612998222e-05	IFN1
0.00382231676147111	0.000213977238245536	82544.1049961296	17.8631932667766	3.10986097823678e-71	HERVL-int	1.80371936737733e-69	IFN1
0.000349333799665544	0.000145347750746522	82522.5033686019	2.40343450704485	0.0162440678767058	HERVL18-int	0.0376862374739575	IFN1
0.000637762527557675	0.000179283594795475	82523.4291978394	3.55728324326176	0.000374919924466701	HERVL66-int	0.00103549312471756	IFN1
0.000901727745193328	0.000176079957327835	82521.2091965323	5.12112655453705	3.04396756694556e-07	ERV24B.Prim-int	1.10343824301777e-06	IFNG
0.00132938660694475	0.000271346031941835	82530.6614102458	4.89922995162765	9.63948059614488e-07	ERV3-16A3.I-int	2.94257828724423e-06	IFNG
0.00159478819338655	0.000159772580931611	82522.3245713099	9.98161376681512	1.89168241468307e-23	ERV3-16A3.LTR	1.37146975064523e-22	IFNG
0.00120022194660425	0.000285176576285507	82530.1776160844	4.20869751028441	2.57118210549479e-05	ERVL-E-int	7.10136010089038e-05	IFNG
0.00150917686079334	0.000211734641827063	82520.563298708	7.12768042003243	1.02906779281108e-12	ERVL47-int	5.42599381664023e-12	IFNG
0.00195810154939098	0.000155090223857091	82524.4962707801	12.6255640148878	1.65000285234405e-36	HERV15-int	1.36714522051364e-35	IFNG
0.00252405355053296	0.000151808100504764	82523.3158616669	16.6266064995243	5.6437057131674e-62	HERV3-int	1.09111643787903e-60	IFNG
0.00165611321132162	0.000168451957549762	82523.3030497427	9.83136815630294	8.4905959050054e-23	HERV9N-int	5.47171736100348e-22	IFNG
0.000869428919309101	0.000155733560695512	82525.2127006028	5.58279741005215	2.37421992563677e-08	HERVE-int	9.1803170457955e-08	IFNG
0.00267484641341565	0.000155576288337773	82525.5466393291	17.1931496887769	3.89863751710424e-66	HERVE.a-int	1.13060487996023e-64	IFNG
0.00135962908440334	0.000271786740333713	82544.6541152579	5.00255856019289	5.66902404822012e-07	HERVH-int	1.91370986901554e-06	IFNG
0.000488098571986141	0.000175620973814295	82521.5971709318	2.77927266536094	0.00544930948080052	HERVH48-int	0.0130722102789484	IFNG
0.000677063423042823	0.000193043004711366	82520.9902887567	3.50731912847687	0.000452886424359998	HERVI-int	0.0011420614179513	IFNG
0.00113141280247773	0.00017239031655874	82522.7655989224	6.56308791040602	5.30154229369773e-11	HERVIP10B3-int	2.36530348488053e-10	IFNG
0.00251433980973119	0.000157504836413683	82522.55879917	15.9635720843983	2.79384488219296e-57	HERVIP10FH-int	4.05107507917979e-56	IFNG
0.000549952869448086	0.000218905674624982	82520.9412596177	2.51228238093981	0.0119971979935	HERVK13-int	0.026762980139346	IFNG
0.00205964567697647	0.000152634700079831	82527.2824332813	13.493954362273	1.87859654451091e-41	HERVK9-int	2.17917199163266e-40	IFNG
0.00130686154204664	0.000232461547351127	82521.5718338264	5.6218396416017	1.89542892329448e-08	HERVKC4-int	7.85249125364858e-08	IFNG
0.00426353027944231	0.000211826639532499	82541.9598153722	20.1274508666705	6.98026988385648e-90	HERVL-int	4.04855653263676e-88	IFNG
0.000491606037422668	0.000177578010381402	82522.9108132404	2.76839478247782	0.00563457339609844	HERVL66-int	0.0130722102789484	IFNG
